n,RowByRow,ColorByColor
5,51,51
6,71,73
7,99,99
8,127,124
9,162,153
10,204,186
11,248,219
12,300,254
13,355,292
14,415,332
15,480,373
16,544,412
17,618,457
18,698,505
19,784,556
20,872,605
21,961,655
22,1065,715
23,1170,770
24,1271,826
25,1374,884
26,1492,947
27,1625,1019
28,1740,1084
29,1873,1151
30,2015,1229
31,2160,1303
32,2296,1371
33,2455,1462
34,2616,1541
35,2767,1618
36,2926,1701
37,3095,1792
38,3266,1876
39,3453,1974
40,3635,2063
41,3832,2171
42,4028,2265
43,4221,2362
44,4438,2470
45,4662,2580
46,4834,2666
47,5054,2776
48,5286,2894
49,5524,3011
50,5767,3135
51,5961,3233
52,6237,3367
53,6471,3484
54,6670,3583
55,6967,3732
56,7246,3868
57,7523,3997
58,7754,4114
59,8027,4259
60,8340,4408
61,8618,4555
62,8929,4685
63,9223,4844
64,9490,4962
65,9829,5133
66,10125,5272
67,10408,5413
68,10745,5582
69,11069,5729
70,11379,5896
71,11716,6051
72,12042,6209
73,12434,6397
74,12731,6543
75,13131,6724
76,13463,6888
77,13833,7059
78,14183,7238
79,14527,7406
80,14955,7604
81,15360,7809
82,15696,7983
83,16152,8193
84,16506,8354
85,16876,8529
86,17304,8733
87,17657,8905
88,18123,9144
89,18541,9340
90,18938,9523
91,19441,9736
92,19856,9968
93,20239,10144
94,20723,10377
95,21117,10578
96,21652,10830
97,22064,11004
98,22507,11217
99,23003,11447
100,23433,11667
101,23918,11893
102,24398,12137
103,24971,12407
104,25370,12602
105,25890,12856
106,26409,13094
107,26880,13294
108,27429,13579
109,27989,13822
110,28390,14010
111,29052,14325
112,29507,14531
113,30039,14832
114,30590,15060
115,31128,15298
116,31666,15556
117,32204,15815
118,32874,16148
119,33230,16336
120,33923,16654
121,34571,16944
122,35150,17223
123,35691,17457
124,36269,17745
125,36884,18038
126,37420,18262
127,38030,18556
128,38589,18869
129,39232,19156
130,39871,19442
131,40462,19713
132,41021,19984
133,41682,20309
134,42442,20639
135,43037,20935
136,43547,21173
137,44316,21534
138,44959,21855
139,45541,22116
140,46308,22469
141,46977,22778
142,47567,23055
143,48371,23438
144,49042,23760
145,49512,23979
146,50445,24389
147,51089,24747
148,51802,25075
149,52468,25325
150,53179,25686
151,53962,26049
152,54661,26422
153,55318,26682
154,56102,27084
155,56778,27427
156,57488,27700
157,58464,28133
158,59032,28409
159,59818,28804
160,60711,29237
161,61374,29533
162,62092,29871
163,62965,30267
164,63668,30573
165,64307,30875
166,65057,31277
167,66020,31706
168,66778,32078
169,67755,32498
170,68329,32775
171,69154,33180
172,70169,33690
173,70986,34014
174,71751,34382
175,72732,34855
176,73454,35222
177,74256,35546
178,74942,35896
179,76016,36357
180,76993,36796
181,77690,37205
182,78319,37478
183,79318,37890
184,80143,38285
185,81017,38702
186,82064,39161
187,82790,39535
188,83684,39970
189,84495,40323
190,85605,40923
191,86586,41310
192,87697,41794
193,88373,42137
194,89211,42498
195,90062,42912
196,91147,43445
197,91971,43818
198,92933,44316
199,93960,44734
200,94898,45172
201,96237,45821
202,96685,45945
203,97833,46522
204,98619,46876
205,99855,47532
206,100741,47830
207,101831,48399
208,102723,48747
209,103828,49284
210,104819,49847
211,105880,50264
212,106556,50575
213,107689,51085
214,108734,51611
215,109613,52018
216,110600,52488
217,111812,52990
218,112943,53525
219,113618,53896
220,114889,54482
221,115930,55013
222,116850,55356
223,118064,55920
224,119339,56622
225,120307,56960
226,121374,57585
227,122482,57994
228,123558,58498
229,124759,59132
230,125904,59594
231,127079,60107
232,127855,60432
233,129086,61032
234,129941,61469
235,131095,62074
236,132346,62523
237,133573,63148
238,134860,63717
239,135548,64075
240,136911,64672
241,137953,65191
242,139112,65681
243,140056,66219
244,141547,66783
245,142757,67517
246,143902,67958
247,145069,68379
248,146326,68986
249,147726,69733
250,148339,69957
251,149897,70771
252,150964,71213
253,152336,71846
254,153744,72374
255,154587,72935
256,156434,73744
257,157319,74093
258,158384,74671
259,159630,75231
260,160827,75732
261,162140,76337
262,163355,76885
263,164512,77431
264,165852,78067
265,166990,78567
266,168194,79053
267,169817,79876
268,171168,80625
269,172068,80964
270,173522,81654
271,174689,82209
272,175970,82810
273,177080,83322
274,178620,83908
275,179977,84661
276,181072,85146
277,182273,85663
278,184307,86672
279,185038,86950
280,186592,87704
281,187563,88107
282,189607,89086
283,190795,89697
284,191853,90180
285,193831,90994
286,194500,91374
287,196080,92060
288,197342,92632
289,198985,93366
290,200336,94045
291,201927,94786
292,202989,95177
293,204493,95951
294,206137,96537
295,206828,97120
296,208581,97877
297,209923,98506
298,211578,99322
299,212942,99780
300,213952,100212
